GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60601,60601,ZCTA5 60601,10894,1161,7591,1111,1115,621,74,88,1758,499,0,15,162,149,194,136,56,91,138,103
8600000US60602,60602,ZCTA5 60602,1429,456,1122,450,24,39,0,11,222,113,0,11,0,11,61,59,0,11,61,59
8600000US60603,60603,ZCTA5 60603,1002,274,613,143,10,11,0,11,334,210,0,11,0,11,45,60,0,11,45,60
8600000US60604,60604,ZCTA5 60604,419,83,326,81,13,18,0,11,68,43,0,11,0,11,12,14,8,13,4,6
8600000US60605,60605,ZCTA5 60605,25938,1542,15282,1283,5108,997,9,20,4291,713,12,24,428,223,808,293,265,220,543,183
8600000US60606,60606,ZCTA5 60606,2840,395,2337,308,64,91,0,11,410,237,0,11,16,27,13,23,0,11,13,23
8600000US60607,60607,ZCTA5 60607,25927,1143,15771,891,3924,672,15,23,4908,608,31,33,455,176,823,303,101,76,722,273
8600000US60608,60608,ZCTA5 60608,78952,2224,36664,1997,13690,997,536,206,7467,823,0,26,18950,1860,1645,384,534,193,1111,322
8600000US60609,60609,ZCTA5 60609,62405,1918,29806,1620,16495,1126,332,258,3295,478,6,11,11237,1300,1234,290,407,175,827,249
8600000US60610,60610,ZCTA5 60610,38482,1360,28381,1286,6397,782,126,159,2416,487,0,23,526,213,636,259,111,68,525,253
8600000US60611,60611,ZCTA5 60611,30648,1127,23240,998,1232,362,100,113,4825,772,0,20,518,311,733,292,9,18,724,292
8600000US60612,60612,ZCTA5 60612,35598,1455,9922,646,21793,1318,28,43,1448,274,0,23,1849,468,558,142,175,87,383,129
8600000US60613,60613,ZCTA5 60613,49292,1689,40627,1602,3269,519,178,108,3280,525,0,23,713,344,1225,340,80,52,1145,329
8600000US60614,60614,ZCTA5 60614,68573,1724,59612,1537,2731,473,69,64,3787,555,19,28,802,279,1553,336,133,81,1420,322
8600000US60615,60615,ZCTA5 60615,41141,1266,10863,750,24543,1158,35,32,3436,551,0,23,1196,383,1068,250,153,103,915,233
8600000US60616,60616,ZCTA5 60616,49914,1887,14244,887,12674,971,84,69,19511,1375,65,103,1807,448,1529,449,227,142,1302,424
8600000US60617,60617,ZCTA5 60617,82685,2412,29693,1638,45057,1801,186,99,190,117,23,28,6317,974,1219,378,581,191,638,311
8600000US60618,60618,ZCTA5 60618,96230,2493,76907,2249,2351,483,271,210,4809,697,34,39,8903,1442,2955,561,564,260,2391,508
8600000US60619,60619,ZCTA5 60619,64245,1918,533,169,62437,1934,0,26,162,102,19,30,196,92,898,316,173,122,725,284
8600000US60620,60620,ZCTA5 60620,71907,2121,860,254,69652,2117,392,222,144,91,11,18,102,91,746,234,140,125,606,251
8600000US60621,60621,ZCTA5 60621,32619,1426,597,235,31146,1459,126,115,83,80,12,17,310,228,345,194,30,46,315,179
8600000US60622,60622,ZCTA5 60622,54607,1745,40374,1604,4542,707,180,144,1939,301,0,26,5695,1208,1877,431,518,289,1359,298
8600000US60623,60623,ZCTA5 60623,87836,2488,42429,2027,29031,1486,298,238,162,78,0,26,15095,1750,821,220,375,162,446,177
8600000US60624,60624,ZCTA5 60624,39706,1744,1004,313,37607,1695,47,44,63,51,0,23,798,435,187,98,38,53,149,83
8600000US60625,60625,ZCTA5 60625,78586,2561,48554,2132,3438,595,121,84,10264,1092,52,78,13648,1855,2509,549,572,223,1937,498
8600000US60626,60626,ZCTA5 60626,49237,1871,28720,1364,12274,1390,120,160,3625,907,18,33,2630,709,1850,392,225,97,1625,392
8600000US60628,60628,ZCTA5 60628,69921,2280,2557,407,65974,2299,32,25,211,117,0,26,602,248,545,221,102,80,443,204
8600000US60629,60629,ZCTA5 60629,115013,2677,40073,1906,25258,1542,576,344,745,362,0,26,46385,2652,1976,428,1222,333,754,257
8600000US60630,60630,ZCTA5 60630,56978,1731,41427,1439,550,222,168,129,6543,921,0,26,6121,1145,2169,473,828,311,1341,360
8600000US60631,60631,ZCTA5 60631,27995,1015,26080,1027,424,304,57,92,473,197,20,33,448,313,493,290,122,125,371,264
