GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60601,60601,ZCTA5 60601,9732,836,6491,840,1070,583,13,21,1778,428,0,16,162,123,218,142,63,88,155,108
8600000US60602,60602,ZCTA5 60602,1463,425,1056,368,35,44,0,11,318,186,0,11,0,11,54,42,6,10,48,40
8600000US60603,60603,ZCTA5 60603,882,316,576,219,38,53,0,11,268,208,0,11,0,11,0,11,0,11,0,11
8600000US60604,60604,ZCTA5 60604,415,98,339,93,0,11,0,11,68,42,0,11,0,11,8,11,5,10,3,5
8600000US60605,60605,ZCTA5 60605,24972,1375,15100,1170,4565,799,16,19,4155,685,0,21,480,185,656,279,220,214,436,165
8600000US60606,60606,ZCTA5 60606,2789,410,2327,343,52,86,0,11,369,283,0,11,19,30,22,30,0,11,22,30
8600000US60607,60607,ZCTA5 60607,25134,1318,14552,792,4239,729,104,84,4761,638,0,21,492,247,986,330,102,76,884,317
8600000US60608,60608,ZCTA5 60608,78794,2440,35114,2091,12832,752,622,262,7627,785,0,27,20904,1583,1695,355,492,185,1203,312
8600000US60609,60609,ZCTA5 60609,62773,2479,29808,1566,17896,1713,274,233,2829,397,19,20,10808,1320,1139,378,365,178,774,335
8600000US60610,60610,ZCTA5 60610,38740,1212,27950,1292,6745,809,118,167,2768,557,0,24,493,235,666,228,122,85,544,223
8600000US60611,60611,ZCTA5 60611,29722,1196,23145,1078,1114,404,34,51,4524,839,0,21,414,301,491,250,0,21,491,250
8600000US60612,60612,ZCTA5 60612,36052,1497,9752,761,22175,1221,37,44,1596,295,0,24,1913,489,579,143,212,94,367,123
8600000US60613,60613,ZCTA5 60613,49536,1452,41337,1315,3018,486,105,71,2898,464,0,24,896,399,1282,290,114,69,1168,281
8600000US60614,60614,ZCTA5 60614,68363,1713,59888,1648,2665,435,196,109,3451,537,14,28,850,319,1299,284,104,91,1195,264
8600000US60615,60615,ZCTA5 60615,40745,1283,11003,910,24738,1008,110,78,2976,471,0,24,923,429,995,231,144,117,851,201
8600000US60616,60616,ZCTA5 60616,49491,1643,14145,980,11959,858,115,77,19349,1095,97,123,2407,636,1419,361,272,142,1147,336
8600000US60617,60617,ZCTA5 60617,83435,2823,28049,1656,46315,1929,159,84,303,192,12,21,7485,1013,1112,309,578,226,534,248
8600000US60618,60618,ZCTA5 60618,97413,2506,75860,2738,2373,536,359,267,4069,619,0,27,11966,1618,2786,442,706,271,2080,388
8600000US60619,60619,ZCTA5 60619,64922,2411,575,193,63256,2418,64,79,128,78,0,27,154,93,745,216,67,59,678,203
8600000US60620,60620,ZCTA5 60620,73253,2062,789,243,71002,2066,374,195,126,116,0,27,78,68,884,395,207,161,677,337
8600000US60621,60621,ZCTA5 60621,33608,1642,459,147,32457,1654,104,92,33,29,12,18,192,180,351,207,7,11,344,206
8600000US60622,60622,ZCTA5 60622,54272,1764,40132,1653,4456,696,181,196,1872,365,0,27,6347,1127,1284,366,291,220,993,268
8600000US60623,60623,ZCTA5 60623,85158,2687,40693,2377,29104,1508,235,170,152,111,0,27,14188,1617,786,290,388,186,398,186
8600000US60624,60624,ZCTA5 60624,39283,1925,1008,321,37599,1872,55,44,44,35,0,24,375,248,202,106,0,24,202,106
8600000US60625,60625,ZCTA5 60625,78966,2378,45985,2029,3674,737,203,142,10734,1277,175,161,15886,2192,2309,473,657,278,1652,420
8600000US60626,60626,ZCTA5 60626,51061,1990,28713,1630,13468,1332,119,136,3504,986,15,24,3289,947,1953,446,234,131,1719,453
8600000US60628,60628,ZCTA5 60628,71710,2160,2656,436,67751,2095,18,27,211,123,0,27,595,260,479,203,49,45,430,192
8600000US60629,60629,ZCTA5 60629,113833,3186,39105,2428,26585,1913,496,265,734,299,0,27,44707,2568,2206,579,1629,543,577,230
8600000US60630,60630,ZCTA5 60630,57886,1841,42277,1480,763,323,194,117,6475,921,0,27,6340,1091,1837,398,655,289,1182,294
8600000US60631,60631,ZCTA5 60631,28899,1446,26561,1394,313,270,41,80,636,296,13,21,880,454,455,250,176,126,279,225
8600000US60632,60632,ZCTA5 60632,90845,2330,55781,2498,1672,510,209,113,4160,630,0,27,28392,2153,631,222,355,159,276,131
8600000US60633,60633,ZCTA5 60633,13474,1330,8726,1164,3426,574,63,60,131,94,0,18,766,431,362,326,222,297,140,126
