GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60601,60601,ZCTA5 60601,8275,803,5844,703,603,191,15,24,1436,332,0,89,287,137,90,52,11,17,79,50
8600000US60602,60602,ZCTA5 60602,1151,293,850,260,17,23,0,89,225,179,0,89,0,89,59,50,17,27,42,42
8600000US60603,60603,ZCTA5 60603,480,169,321,125,21,22,0,89,138,116,0,89,0,89,0,89,0,89,0,89
8600000US60604,60604,ZCTA5 60604,393,99,326,102,0,89,0,89,41,33,0,89,0,89,26,27,16,24,10,15
8600000US60605,60605,ZCTA5 60605,20522,1393,11958,1115,4518,604,25,34,2979,602,0,89,487,206,555,238,196,168,359,172
8600000US60606,60606,ZCTA5 60606,2123,306,1874,298,44,66,0,89,143,83,0,89,0,89,62,49,27,40,35,38
8600000US60607,60607,ZCTA5 60607,22964,1386,13577,798,4337,822,59,62,3834,534,0,89,585,284,572,185,98,71,474,157
8600000US60608,60608,ZCTA5 60608,81757,2439,33011,2031,13477,1148,586,232,6966,691,16,29,26153,2122,1548,326,520,185,1028,293
8600000US60609,60609,ZCTA5 60609,62671,2409,26876,1873,18215,1764,344,266,2236,455,10,16,13810,1329,1180,443,444,321,736,278
8600000US60610,60610,ZCTA5 60610,37309,1262,26502,1042,7227,793,51,61,2540,444,17,27,508,242,464,207,82,77,382,195
8600000US60611,60611,ZCTA5 60611,28071,1038,22494,997,1018,321,11,17,3598,591,0,89,495,251,455,216,0,89,455,216
8600000US60612,60612,ZCTA5 60612,34569,1742,9360,871,20877,1508,36,46,1793,427,32,50,1831,476,640,224,225,120,415,187
8600000US60613,60613,ZCTA5 60613,49370,1230,40342,1290,3161,530,65,54,3224,348,0,89,1660,436,918,299,155,102,763,276
8600000US60614,60614,ZCTA5 60614,66352,1718,57926,1802,2675,475,150,104,3761,647,0,89,911,311,929,210,108,62,821,197
8600000US60615,60615,ZCTA5 60615,41392,1379,11123,867,25457,1208,114,76,2787,473,0,89,783,344,1128,296,169,136,959,260
8600000US60616,60616,ZCTA5 60616,48774,1732,13871,873,12870,964,134,84,18293,1176,147,136,2428,608,1031,259,256,132,775,241
8600000US60617,60617,ZCTA5 60617,88799,2742,26544,1680,48255,2196,70,71,259,189,120,156,12333,1583,1218,377,572,238,646,317
8600000US60618,60618,ZCTA5 60618,94286,2524,63391,2500,2643,674,156,90,4935,767,29,47,20722,2068,2410,512,611,232,1799,466
8600000US60619,60619,ZCTA5 60619,67701,2250,463,187,66157,2210,76,68,103,83,0,89,50,46,852,333,45,39,807,326
8600000US60620,60620,ZCTA5 60620,77452,2169,750,327,75869,2243,193,86,105,73,0,89,15,19,520,296,119,101,401,248
8600000US60621,60621,ZCTA5 60621,35837,1561,441,257,35075,1547,83,78,16,19,0,89,48,35,174,98,11,13,163,101
8600000US60622,60622,ZCTA5 60622,52896,1731,38498,1678,4580,801,225,107,1602,312,25,32,6849,949,1117,510,344,392,773,258
8600000US60623,60623,ZCTA5 60623,85764,2630,35429,2104,28541,1514,94,97,118,86,0,89,20980,1921,602,231,249,147,353,162
8600000US60624,60624,ZCTA5 60624,39470,1822,910,299,37794,1768,45,72,50,36,0,89,533,281,138,78,7,12,131,76
8600000US60625,60625,ZCTA5 60625,79784,1842,39109,1759,3549,689,259,169,11212,1106,124,123,23177,2209,2354,557,883,456,1471,340
8600000US60626,60626,ZCTA5 60626,51029,2434,27114,1565,12841,1508,142,147,3553,899,9,17,5390,1191,1980,440,276,166,1704,419
8600000US60628,60628,ZCTA5 60628,76929,2697,2528,605,72897,2672,21,30,105,95,0,89,857,296,521,233,49,45,472,231
8600000US60629,60629,ZCTA5 60629,112376,2923,35014,1960,28297,1639,425,236,742,323,0,89,45849,2708,2049,627,1561,613,488,220
8600000US60630,60630,ZCTA5 60630,55571,1909,41049,1591,541,285,158,115,5196,939,0,89,6988,1090,1639,472,641,277,998,377
8600000US60631,60631,ZCTA5 60631,29554,1172,26758,1046,243,157,75,107,710,329,0,89,1300,585,468,256,367,241,101,90
8600000US60632,60632,ZCTA5 60632,88723,2813,51864,2746,1660,485,243,116,3449,641,0,89,30815,2601,692,196,433,175,259,105
8600000US60633,60633,ZCTA5 60633,13925,915,8234,985,3781,650,60,82,97,88,0,89,1502,618,251,146,197,131,54,61
8600000US60634,60634,ZCTA5 60634,74795,2195,55632,2110,1179,409,136,119,3443,765,19,30,12971,1769,1415,443,754,332,661,294
8600000US60636,60636,ZCTA5 60636,41973,2116,1108,331,40001,2020,17,19,43,48,0,89,149,152,655,289,60,70,595,278
8600000US60637,60637,ZCTA5 60637,47636,1998,7736,754,37297,1740,82,53,1740,425,6,12,175,82,600,168,54,37,546,165
8600000US60638,60638,ZCTA5 60638,55810,1627,40369,1348,2370,586,160,172,706,301,0,89,11023,1117,1182,450,912,400,270,154
8600000US60639,60639,ZCTA5 60639,90858,2576,25062,2041,16283,1601,204,176,777,358,0,89,47408,2756,1124,386,762,307,362,211
8600000US60640,60640,ZCTA5 60640,64952,2025,37965,1446,12034,1112,301,135,8432,876,216,220,4281,1162,1723,462,214,112,1509,449
8600000US60641,60641,ZCTA5 60641,70874,2125,41003,1914,2104,497,340,244,3078,574,32,50,22543,1917,1774,451,785,309,989,292
8600000US60642,60642,ZCTA5 60642,18661,916,12397,782,2584,428,115,71,1074,273,0,89,2093,571,398,120,16,24,382,115
8600000US60643,60643,ZCTA5 60643,49641,1488,13054,882,35521,1446,40,29,215,119,0,89,264,195,547,223,64,47,483,208
8600000US60644,60644,ZCTA5 60644,47127,1971,2027,410,44029,2089,35,35,181,97,0,89,778,355,77,60,24,36,53,49
8600000US60645,60645,ZCTA5 60645,45511,2020,24532,1691,8014,1034,185,199,7178,896,57,59,4081,1019,1464,490,167,135,1297,477
8600000US60646,60646,ZCTA5 60646,27829,1156,22673,1217,455,276,26,30,2967,589,35,55,800,387,873,335,239,159,634,312
8600000US60647,60647,ZCTA5 60647,86345,2219,60950,2148,6522,894,148,104,2582,429,20,33,13929,1527,2194,482,790,305,1404,353
8600000US60649,60649,ZCTA5 60649,44884,1987,785,241,42463,2030,95,57,119,90,18,30,344,202,1060,490,185,114,875,500
8600000US60651,60651,ZCTA5 60651,64182,2468,8680,1128,42246,2032,192,188,191,154,0,89,11809,1557,1064,371,290,146,774,324
8600000US60652,60652,ZCTA5 60652,42883,1405,11757,1264,21533,1311,148,148,156,112,0,89,8857,1243,432,219,197,167,235,144
8600000US60653,60653,ZCTA5 60653,30641,1352,1440,421,28275,1294,18,20,336,175,13,25,381,201,178,94,4,8,174,92
8600000US60654,60654,ZCTA5 60654,14059,790,10815,772,578,192,105,92,1708,357,0,89,641,382,212,116,68,90,144,69
8600000US60655,60655,ZCTA5 60655,28049,802,25356,875,1810,439,21,25,102,112,0,89,366,246,394,365,255,350,139,72
8600000US60656,60656,ZCTA5 60656,26219,1330,22845,1336,166,118,46,48,1840,479,0,89,842,328,480,206,130,105,350,174
8600000US60657,60657,ZCTA5 60657,68809,1464,59779,1534,1881,471,59,39,4555,620,57,76,1375,426,1103,246,82,73,1021,239
8600000US60659,60659,ZCTA5 60659,39586,2068,19467,1862,3460,1059,271,297,10795,1385,0,89,4734,1080,859,350,261,205,598,278
8600000US60660,60660,ZCTA5 60660,41840,1511,24243,1294,6960,806,95,88,5933,817,21,26,3339,769,1249,342,216,141,1033,327
8600000US60661,60661,ZCTA5 60661,6648,570,4528,575,526,231,21,34,1314,345,0,89,128,130,131,76,11,18,120,73
8600000US60706,60706,ZCTA5 60706,22958,377,20518,602,118,68,17,27,1243,359,0,89,832,407,230,109,52,51,178,99
8600000US60707,60707,ZCTA5 60707,42164,982,30040,1009,2910,537,96,90,1219,406,0,89,6906,1240,993,532,229,120,764,499
8600000US60803,60803,ZCTA5 60803,22583,383,17226,816,2944,481,11,13,612,364,0,89,1442,560,348,257,30,35,318,254
8600000US60804,60804,ZCTA5 60804,83822,51,25362,2092,3214,696,348,209,318,206,39,60,52468,2169,2073,560,1454,500,619,247
8600000US60805,60805,ZCTA5 60805,19832,27,14758,629,4009,539,0,89,224,211,0,89,600,266,241,154,96,119,145,97
8600000US60827,60827,ZCTA5 60827,27974,828,2099,392,25243,977,17,23,62,89,0,89,213,288,340,223,0,89,340,223
