GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60601,60601,ZCTA5 60601,13695,1282,10012,1140,1068,537,59,88,2229,705,0,17,82,108,245,191,62,103,183,153
8600000US60602,60602,ZCTA5 60602,1252,423,917,416,30,38,1,3,294,218,0,11,0,11,10,18,0,11,10,18
8600000US60603,60603,ZCTA5 60603,1029,220,617,116,33,21,0,11,331,179,0,11,0,11,48,60,0,11,48,60
8600000US60604,60604,ZCTA5 60604,619,141,381,124,28,25,0,11,210,121,0,11,0,11,0,11,0,11,0,11
8600000US60605,60605,ZCTA5 60605,26623,1524,15610,1237,4747,933,22,33,4999,775,10,21,359,169,876,283,81,60,795,280
8600000US60606,60606,ZCTA5 60606,3011,352,2311,305,72,100,0,11,510,239,0,11,49,57,69,53,35,39,34,37
8600000US60607,60607,ZCTA5 60607,28377,1181,16739,839,3977,512,16,23,5999,737,22,25,448,162,1176,366,150,88,1026,329
8600000US60608,60608,ZCTA5 60608,78072,1725,37410,1621,13865,908,465,217,8353,782,0,26,16538,1402,1441,340,451,174,990,319
8600000US60609,60609,ZCTA5 60609,62250,1913,29221,1554,14973,875,529,316,3399,425,10,16,12865,1242,1253,319,544,215,709,250
8600000US60610,60610,ZCTA5 60610,38438,1347,28535,932,5973,905,151,114,2547,560,0,23,502,201,730,397,90,77,640,393
8600000US60611,60611,ZCTA5 60611,31563,1267,24073,1234,1008,341,75,81,5405,803,0,23,295,165,707,279,52,47,655,271
8600000US60612,60612,ZCTA5 60612,35559,1393,8874,543,22556,1260,39,56,1422,228,58,87,1865,452,745,190,217,110,528,142
8600000US60613,60613,ZCTA5 60613,49519,1564,40993,1409,2894,579,153,85,2933,428,7,12,807,287,1732,512,239,115,1493,507
8600000US60614,60614,ZCTA5 60614,69817,1375,59701,1275,2906,449,39,42,4485,609,27,22,638,233,2021,337,150,73,1871,336
