GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,6368,569,1716,378,1589,364,4652,643,9.0,3.8,3.8,4.2,2.7,4.0,11.5,5.0,3.4,3.8,0.6,1.1,0.7,1.2,4.4,5.2,3.0,1.9,1.3,2.2,1.4,2.4,3.7,2.5,4.1,2.1,0.0,1.7,0.0,1.9,5.6,2.8,7.9,3.1,2.0,2.0,0.8,1.3,10.0,4.3,12.9,4.1,3.7,2.4,3.3,2.4,15.8,5.5,12.1,5.3,6.7,7.1,7.2,7.6,14.1,6.9,24.5,6.1,32.7,11.6,31.5,11.7,21.5,7.5,10.3,4.8,18.6,9.7,19.6,10.1,7.3,5.4,12.8,5.4,30.4,13.8,32.9,15.0,6.2,5.6,95556,19503,141250,36999,153699,41047,72057,12203,135239,33314,277093,105409,N,N,82604,11944,21.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),17.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.0,(X)
8600000US60602,60602,ZCTA5 60602,722,198,265,141,224,123,457,182,1.2,1.5,0.0,10.7,0.0,12.5,2.0,2.6,1.9,3.4,0.0,10.7,0.0,12.5,3.1,5.5,3.3,3.8,0.0,10.7,0.0,12.5,5.3,6.1,6.2,7.9,2.3,4.5,2.7,5.3,8.5,13.5,8.3,12.1,1.1,3.7,1.3,4.4,12.5,18.2,21.1,15.8,15.5,23.3,0.0,12.5,24.3,19.7,21.6,18.5,19.2,31.3,22.8,35.9,23.0,22.5,23.0,15.0,29.4,24.6,34.8,27.4,19.3,19.0,1.4,2.3,0.0,10.7,0.0,12.5,2.2,3.7,11.9,11.3,32.5,30.6,38.4,34.7,0.0,6.3,79957,14665,122886,64802,123818,109014,73938,14326,132736,48264,242247,127383,N,N,69233,12806,12.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),7.0,(X)
8600000US60603,60603,ZCTA5 60603,366,110,151,82,151,82,215,82,20.2,19.0,0.0,17.9,0.0,17.9,34.4,29.6,0.0,7.9,0.0,17.9,0.0,17.9,0.0,13.0,0.0,7.9,0.0,17.9,0.0,17.9,0.0,13.0,1.4,2.1,0.0,17.9,0.0,17.9,2.3,3.6,3.8,3.7,0.0,17.9,0.0,17.9,6.5,6.7,3.8,6.6,0.0,17.9,0.0,17.9,6.5,10.7,12.6,8.9,23.2,17.4,23.2,17.4,5.1,8.5,25.7,16.8,34.4,26.5,34.4,26.5,19.5,16.8,4.4,3.9,0.0,17.9,0.0,17.9,7.4,6.9,28.1,13.0,42.4,25.5,42.4,25.5,18.1,14.8,107419,22016,120804,141191,120804,141231,80114,102965,176789,56478,215058,72074,N,N,149912,81634,18.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.4,(X)
8600000US60604,60604,ZCTA5 60604,261,65,133,42,123,42,128,56,10.0,10.6,0.0,20.0,0.0,21.4,20.3,20.0,5.0,8.1,0.0,20.0,0.0,21.4,10.2,16.4,1.1,2.0,0.0,20.0,0.0,21.4,2.3,4.1,5.0,5.7,6.0,8.1,6.5,8.8,3.9,8.0,11.5,12.3,9.8,13.0,10.6,14.1,13.3,20.9,5.7,6.2,7.5,9.1,0.0,21.4,3.9,6.8,5.0,7.3,9.8,13.3,10.6,14.4,0.0,20.7,6.9,5.9,9.8,9.3,10.6,10.4,3.9,6.3,15.7,12.0,9.8,10.3,10.6,11.1,21.9,21.6,34.1,13.7,47.4,17.7,51.2,18.9,20.3,20.7,132188,79415,196250,110098,211875,84052,51250,139623,214918,61659,273338,90968,N,N,154217,99491,12.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8.6,(X)
8600000US60605,60605,ZCTA5 60605,13264,633,4276,442,3638,405,8988,688,9.9,2.7,4.9,3.6,3.5,4.2,12.4,3.6,3.8,2.1,0.0,0.7,0.0,0.8,5.6,3.0,4.3,1.8,4.6,3.5,2.6,1.9,5.1,2.5,7.7,2.4,1.5,1.3,0.7,0.9,10.8,3.5,9.3,2.9,4.6,2.1,4.0,2.1,10.8,3.9,14.8,2.8,5.8,2.2,5.2,2.4,19.2,3.9,10.9,2.3,11.2,4.1,9.3,3.9,10.6,2.7,16.5,3.3,18.9,4.6,21.2,5.2,15.3,4.3,8.9,2.0,16.6,4.8,16.5,5.1,4.8,1.8,14.0,2.8,31.8,6.1,36.9,7.0,5.3,2.1,75426,7614,142000,30591,166167,24407,54455,9501,107930,9919,170434,19980,N,N,76846,8590,23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.6,(X)
8600000US60606,60606,ZCTA5 60606,1691,226,486,142,410,137,1205,217,7.3,5.5,3.5,5.5,0.0,7.1,8.9,7.4,0.6,0.9,0.0,6.0,0.0,7.1,0.8,1.3,2.8,2.6,0.0,6.0,0.0,7.1,4.0,3.8,0.6,1.0,0.0,6.0,0.0,7.1,0.8,1.4,5.1,4.3,0.0,6.0,0.0,7.1,7.2,5.9,18.7,6.1,8.4,8.4,2.9,4.8,22.8,7.9,8.9,4.7,4.1,5.1,4.9,6.0,10.9,6.1,18.7,7.2,37.2,18.0,44.1,19.6,11.2,6.4,18.3,7.2,28.2,14.4,33.4,17.3,14.4,8.0,18.9,6.5,18.5,12.7,14.6,12.9,19.0,8.9,109324,15309,145147,39523,146324,34744,86875,25003,135559,18939,155189,26814,N,N,127642,26642,14.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),14.1,(X)
8600000US60607,60607,ZCTA5 60607,11435,440,4365,297,3314,295,7070,455,12.2,2.2,9.6,3.5,5.4,2.9,14.3,3.0,3.8,2.1,1.3,0.9,1.0,0.9,5.4,3.2,5.4,1.2,2.4,1.3,0.6,0.5,7.3,1.8,5.9,1.6,6.3,3.0,3.3,2.5,5.6,1.9,6.9,2.2,6.5,2.1,3.8,1.8,7.5,3.1,12.4,2.2,7.2,2.5,5.9,2.4,15.0,3.1,12.1,2.5,6.1,1.8,6.7,2.3,15.7,3.9,16.1,2.2,18.0,3.5,20.3,4.3,15.1,2.6,12.9,1.9,20.8,3.5,26.2,4.4,7.9,2.2,12.3,2.0,21.9,4.4,26.9,5.1,6.2,1.6,80261,4604,132719,14389,159600,11703,67719,6535,107194,7858,141972,12263,N,N,84882,8490,25.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X)
8600000US60608,60608,ZCTA5 60608,24973,562,14643,616,8306,465,10330,449,11.8,1.1,6.7,1.2,2.9,1.0,20.5,2.2,7.7,1.0,6.4,1.4,3.2,1.1,10.4,1.9,16.3,1.7,17.7,2.2,13.7,2.9,16.2,2.4,13.8,1.3,15.0,2.0,12.1,2.3,12.9,1.9,14.7,1.5,14.5,1.7,16.7,2.3,12.8,2.1,17.1,1.6,17.1,1.9,20.2,2.8,15.4,2.1,8.8,1.1,10.0,1.5,12.3,2.4,6.1,1.4,5.7,0.9,6.9,1.2,9.7,2.1,3.8,1.1,2.4,0.6,3.2,1.0,4.9,1.6,1.4,0.8,1.8,0.5,2.6,0.8,4.3,1.4,0.5,0.3,35336,1344,38381,2612,51260,3387,27027,2170,48667,1718,54797,2697,68211,4133,37257,2057,25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.1,(X)
8600000US60609,60609,ZCTA5 60609,18796,447,13473,529,7226,448,5323,382,13.2,1.4,9.8,1.6,3.9,1.3,25.5,3.1,8.0,1.1,6.6,1.3,4.3,1.3,13.0,2.4,15.7,1.6,16.0,1.8,11.1,2.1,14.4,2.6,15.1,1.8,16.1,2.0,13.3,2.3,13.2,2.9,15.4,1.6,14.8,1.8,19.2,2.7,15.7,3.2,15.5,1.6,16.8,2.0,20.6,3.1,9.8,2.2,7.8,1.1,8.9,1.4,11.2,2.1,4.5,1.3,6.6,0.9,7.8,1.2,11.1,2.0,2.8,1.2,1.9,0.6,2.5,0.8,3.9,1.4,0.0,0.6,0.8,0.4,0.8,0.4,1.3,0.6,1.0,0.9,33630,1399,36118,1749,48304,3204,22641,2985,45455,1692,48910,1961,60168,2798,32967,3258,28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.5,(X)
