GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,6343,487,1861,366,1666,344,4482,543,11.1,4.4,6.8,6.2,6.0,6.4,13.5,5.9,3.0,3.6,1.0,1.6,1.1,1.8,3.8,4.9,3.7,2.2,2.0,2.7,2.3,3.0,4.3,2.8,2.9,1.9,0.8,1.2,0.0,1.8,3.8,2.7,9.5,3.3,4.1,2.9,3.0,2.7,11.7,4.4,15.5,3.5,6.6,3.8,4.6,3.2,18.7,4.8,11.7,5.3,3.0,3.7,3.4,4.2,15.3,7.4,18.9,5.1,24.6,10.0,24.0,10.0,16.5,5.1,8.9,3.3,18.4,7.8,19.1,8.4,4.9,2.8,14.9,4.7,32.7,9.5,36.6,11.0,7.5,4.9,80613,14388,150603,22167,168438,43824,68214,9677,130536,27668,249997,79934,N,N,80546,10715,20.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.2,(X)
8600000US60602,60602,ZCTA5 60602,637,177,283,132,221,104,354,148,1.6,1.8,0.0,10.0,0.0,12.7,2.8,3.5,2.5,4.0,0.0,10.0,0.0,12.7,4.5,7.4,4.7,5.2,0.0,10.0,0.0,12.7,8.5,9.1,6.3,7.8,2.5,3.9,3.2,5.1,9.3,14.4,9.4,12.9,1.8,3.6,2.3,4.5,15.5,21.9,23.9,17.9,16.6,23.8,0.0,12.7,29.7,23.6,11.6,11.9,5.3,9.0,0.0,12.7,16.7,19.3,20.4,13.7,32.9,24.4,42.1,29.4,10.5,12.9,1.4,2.4,0.0,10.0,0.0,12.7,2.5,4.5,18.2,13.1,41.0,26.2,52.5,28.3,0.0,8.1,81750,22671,124564,93771,200313,140644,54730,42188,143656,48662,247679,113323,N,N,60497,13978,10.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),10.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),10.2,(X)
8600000US60603,60603,ZCTA5 60603,261,90,126,73,126,73,135,57,11.5,17.2,0.0,21.0,0.0,21.0,22.2,30.8,0.0,10.8,0.0,21.0,0.0,21.0,0.0,19.8,0.0,10.8,0.0,21.0,0.0,21.0,0.0,19.8,1.5,2.6,0.0,21.0,0.0,21.0,3.0,5.4,5.7,7.4,8.7,14.3,8.7,14.3,3.0,5.4,5.7,9.0,0.0,21.0,0.0,21.0,11.1,17.3,15.7,14.1,23.8,25.4,23.8,25.4,8.1,13.4,33.3,17.1,42.1,29.0,42.1,29.0,25.2,19.0,2.3,3.7,0.0,21.0,0.0,21.0,4.4,6.8,24.1,13.5,25.4,22.1,25.4,22.1,23.0,20.1,107056,21721,106774,16084,106774,16084,115398,100337,137939,40955,147595,46756,N,N,128927,68128,21.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),12.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
8600000US60604,60604,ZCTA5 60604,289,100,120,47,120,47,169,101,9.3,10.6,0.0,21.9,0.0,21.9,16.0,19.0,10.7,11.9,0.0,21.9,0.0,21.9,18.3,21.9,2.1,2.7,0.0,21.9,0.0,21.9,3.6,4.2,11.4,11.4,15.0,18.5,15.0,18.5,8.9,14.4,4.2,6.3,10.0,14.6,10.0,14.6,0.0,16.2,1.7,2.9,0.0,21.9,0.0,21.9,3.0,5.5,4.2,6.8,10.0,15.1,10.0,15.1,0.0,16.2,23.2,21.1,16.7,14.7,16.7,14.7,27.8,34.2,11.8,10.2,6.7,10.4,6.7,10.4,15.4,18.4,21.5,13.9,41.7,21.7,41.7,21.7,7.1,9.0,105984,31039,129000,157954,129000,157954,105027,158963,143243,51194,220405,101519,N,N,88453,38751,14.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.4,(X)
8600000US60605,60605,ZCTA5 60605,12396,572,3763,432,3122,393,8633,608,10.8,2.6,5.9,4.5,3.4,4.7,13.0,3.4,3.6,2.1,0.0,0.8,0.0,1.0,5.2,3.0,4.7,1.6,4.5,3.5,2.6,2.1,5.7,2.2,7.3,2.6,1.9,1.8,0.9,1.4,9.8,3.7,9.3,2.9,3.6,1.9,3.5,2.0,11.0,3.6,16.4,3.1,8.8,3.5,8.6,4.0,19.9,3.9,12.2,2.2,12.0,3.9,11.7,4.4,12.2,3.0,16.2,2.9,20.5,5.1,22.0,5.8,14.6,3.8,8.1,1.5,15.0,3.9,14.7,4.0,4.8,1.8,11.2,2.0,27.9,5.2,32.6,5.9,3.8,1.3,71362,6755,130697,10188,142656,27205,54456,4373,98172,7128,152976,14509,N,N,73435,6810,22.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.2,(X)
8600000US60606,60606,ZCTA5 60606,1466,199,459,107,419,105,1007,192,6.9,5.9,0.0,6.3,0.0,6.9,10.0,8.6,1.2,1.4,0.0,6.3,0.0,6.9,1.7,2.1,1.0,1.5,0.0,6.3,0.0,6.9,1.4,2.2,1.6,1.8,0.0,6.3,0.0,6.9,2.3,2.6,4.8,4.8,0.0,6.3,0.0,6.9,7.0,7.0,24.1,7.3,8.9,8.2,2.9,4.6,31.1,10.4,8.7,4.4,5.7,6.6,6.2,7.3,10.1,5.6,21.8,8.1,28.8,16.4,31.5,17.5,18.6,8.4,14.8,6.4,28.1,16.4,30.8,18.1,8.7,5.6,15.2,5.5,28.5,13.2,28.6,14.1,9.1,5.9,101912,15371,152311,17424,153516,18579,71250,16809,125756,17159,187941,35584,N,N,97412,18601,13.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),15.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),13.0,(X)
8600000US60607,60607,ZCTA5 60607,11051,343,4271,356,3259,258,6780,412,12.2,2.1,9.3,2.9,4.4,2.4,14.5,2.6,2.6,0.9,1.2,0.9,0.6,0.7,3.5,1.3,5.0,1.2,2.6,1.3,0.5,0.5,6.9,1.8,6.0,1.5,6.6,2.9,4.4,2.7,5.6,1.7,7.2,1.7,6.9,2.1,5.0,2.0,7.8,2.3,14.1,2.3,9.0,3.3,8.2,3.5,16.6,3.2,12.1,1.8,7.5,2.5,8.4,2.9,14.7,2.6,16.7,2.3,16.5,4.1,18.5,4.4,16.6,2.9,11.2,2.1,17.3,4.2,21.6,5.0,7.3,1.9,12.9,2.3,23.1,4.5,28.3,5.4,6.4,1.7,80501,5795,126034,12923,149857,15171,68611,4383,109089,6254,142843,11382,N,N,86952,7697,26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X)
8600000US60608,60608,ZCTA5 60608,25203,478,14905,563,8186,499,10298,470,11.8,1.2,7.0,1.4,2.3,1.0,20.6,2.6,8.0,1.1,6.5,1.5,3.7,1.4,10.5,1.9,16.4,1.2,17.6,1.9,13.8,2.4,17.2,2.2,13.0,1.4,14.2,1.7,11.3,2.2,12.0,2.4,15.3,1.4,14.7,1.8,17.1,2.6,13.4,2.1,16.7,1.5,17.8,2.1,20.9,2.8,14.4,2.1,9.3,1.2,10.8,1.6,14.5,2.6,6.1,1.6,5.3,0.9,6.3,1.3,8.6,1.9,3.4,1.1,2.4,0.7,2.8,0.8,4.3,1.4,1.8,0.8,1.7,0.5,2.4,0.8,3.6,1.4,0.5,0.4,35603,1278,39175,2758,51588,3161,26108,1851,48495,1550,54037,2326,66506,3585,37315,1976,23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.5,(X)
8600000US60609,60609,ZCTA5 60609,19103,452,13844,492,7581,372,5259,391,12.7,1.3,9.7,1.8,3.5,1.5,24.7,3.0,7.8,1.2,6.2,1.4,4.0,1.3,12.8,3.0,14.8,1.8,14.9,1.8,10.3,2.1,15.6,3.2,14.7,1.5,16.3,1.9,14.1,2.0,11.1,2.1,16.0,1.7,15.7,2.0,21.4,2.9,14.6,2.8,16.1,1.6,16.9,1.8,19.1,2.9,11.3,3.1,8.7,1.2,9.5,1.6,11.5,2.4,5.8,1.6,6.4,0.9,7.5,1.2,11.0,1.9,3.0,1.4,1.8,0.6,2.4,0.8,3.7,1.2,0.0,0.6,0.9,0.4,0.9,0.5,1.6,0.8,1.0,0.9,34966,1847,37107,1679,47792,2188,22716,2557,46087,1552,49076,1989,60442,3012,34341,3442,27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X)
