GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,7662,569,2247,549,2097,533,5415,546,9.9,3.5,2.4,3.9,2.5,4.2,13.0,5.0,3.8,3.2,0.0,1.2,0.0,1.3,5.4,4.5,3.0,1.9,0.0,1.2,0.0,1.3,4.3,2.7,3.6,2.1,2.0,3.2,2.1,3.4,4.3,2.5,8.8,3.3,6.1,5.5,4.4,5.1,9.9,4.3,10.5,4.0,4.7,5.0,2.1,3.4,12.9,5.5,9.5,3.8,5.8,5.7,6.2,6.1,11.0,5.0,17.8,4.8,27.5,10.3,27.2,11.0,13.7,5.4,17.3,4.8,19.6,11.1,21.0,11.8,16.3,4.7,15.8,5.4,32.0,11.3,34.3,12.0,9.1,5.5,102254,13133,155006,39440,(X),(X),75190,12841,146398,31351,235352,82202,N,N,109486,22439,17.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.6,(X)
8600000US60602,60602,ZCTA5 60602,706,260,298,248,298,248,408,183,3.7,2.8,0.0,8.8,0.0,8.8,6.4,5.2,0.0,3.8,0.0,8.8,0.0,8.8,0.0,6.5,4.7,7.7,0.0,8.8,0.0,8.8,8.1,12.9,6.2,8.0,2.3,4.6,2.3,4.6,9.1,14.4,7.4,11.8,0.0,8.8,0.0,8.8,12.7,20.6,28.3,27.9,54.4,45.2,54.4,45.2,9.3,13.9,28.5,22.1,13.4,30.0,13.4,30.0,39.5,30.7,7.9,13.2,0.0,8.8,0.0,8.8,13.7,20.0,6.5,11.2,15.4,29.4,15.4,29.4,0.0,6.5,6.8,10.1,14.4,26.5,14.4,26.5,1.2,1.7,57368,50366,(X),(X),(X),(X),76023,41725,80851,23858,100493,58480,N,N,66505,16361,27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),63.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),2.0,(X)
8600000US60603,60603,ZCTA5 60603,491,107,214,70,205,71,277,101,18.3,14.7,0.0,12.0,0.0,12.5,32.5,22.0,0.0,5.4,0.0,12.0,0.0,12.5,0.0,9.4,3.1,4.1,1.4,2.3,1.5,2.4,4.3,7.2,1.6,2.0,0.0,12.0,0.0,12.5,2.9,3.5,2.6,2.5,0.0,12.0,0.0,12.5,4.7,4.5,5.9,5.7,2.3,3.2,0.0,12.5,8.7,9.3,8.6,6.1,14.5,11.4,15.1,11.8,4.0,4.5,16.5,10.1,22.9,20.3,23.9,21.1,11.6,5.9,7.9,4.2,4.2,4.4,4.4,4.7,10.8,7.2,35.4,10.3,54.7,18.6,55.1,19.2,20.6,12.4,122031,34144,"250,000+",***,"250,000+",***,57054,51845,218982,60225,321476,120764,N,N,139800,62244,18.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.6,(X)
8600000US60604,60604,ZCTA5 60604,338,94,124,32,112,30,214,91,3.8,5.9,0.0,19.7,0.0,21.6,6.1,9.4,5.6,6.3,0.0,19.7,0.0,21.6,8.9,9.9,1.5,2.3,0.0,19.7,0.0,21.6,2.3,3.7,0.0,7.8,0.0,19.7,0.0,21.6,0.0,12.0,5.6,6.3,0.0,19.7,0.0,21.6,8.9,10.1,10.7,6.5,16.1,12.5,7.1,8.0,7.5,7.5,8.0,9.2,4.0,5.7,4.5,6.3,10.3,14.9,4.1,3.6,8.1,8.2,8.9,9.0,1.9,3.6,24.3,22.1,7.3,7.5,8.0,8.5,34.1,32.5,36.4,15.5,64.5,15.6,71.4,14.7,20.1,19.7,151731,23322,"250,000+",***,(X),(X),150433,112145,261215,74890,407671,103330,N,N,176352,91933,10.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),4.7,(X)
8600000US60605,60605,ZCTA5 60605,13467,798,5118,564,4221,558,8349,816,9.0,2.6,4.5,3.2,2.8,3.2,11.8,3.9,4.6,2.5,1.2,1.8,0.0,0.6,6.8,3.9,2.9,1.7,2.4,2.7,0.4,0.6,4.1,2.7,6.4,2.5,1.2,1.6,0.0,0.6,9.6,3.8,7.2,2.7,2.7,1.8,2.2,2.0,9.3,4.3,13.2,3.2,5.6,2.8,5.8,3.1,17.8,5.0,10.8,2.9,8.1,3.7,8.0,4.1,12.6,4.0,20.4,3.8,23.3,6.0,25.7,6.5,18.2,4.6,9.1,2.0,16.9,4.0,17.5,5.0,4.4,2.0,16.3,3.4,34.3,7.4,37.7,8.1,5.3,2.3,87668,10466,150960,13485,(X),(X),60403,9687,122628,13118,195474,28722,N,N,77479,7124,23.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.4,(X)
8600000US60606,60606,ZCTA5 60606,1973,252,593,164,469,123,1380,267,8.7,6.0,9.4,9.2,0.0,5.7,8.4,7.8,2.2,2.2,0.0,4.5,0.0,5.7,3.2,3.2,2.5,2.6,0.0,4.5,0.0,5.7,3.6,3.6,1.5,1.7,0.0,4.5,0.0,5.7,2.2,2.5,5.8,4.6,0.0,4.5,0.0,5.7,8.3,6.2,16.2,6.5,9.6,7.5,5.8,7.0,19.1,9.2,9.1,5.7,3.4,5.5,0.0,5.7,11.6,7.8,18.3,6.0,32.9,14.0,41.6,16.7,12.0,5.6,17.7,6.8,24.3,13.3,30.7,15.8,14.9,7.6,17.9,7.0,20.4,10.6,22.0,11.3,16.9,9.6,106661,16430,132917,44788,(X),(X),77941,27635,131344,18865,169006,40102,N,N,115160,24283,15.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.5,(X)
8600000US60607,60607,ZCTA5 60607,12014,463,4501,347,3627,341,7513,490,11.1,2.1,5.9,2.5,3.3,2.2,14.2,3.2,3.7,1.5,0.8,0.6,0.7,0.6,5.4,2.4,4.7,1.1,2.6,1.3,0.6,0.5,6.0,1.6,3.9,1.3,3.3,2.2,2.2,2.2,4.2,1.4,7.3,1.5,8.5,2.5,5.2,2.4,7.0,2.4,12.2,2.1,5.6,2.0,5.0,1.9,16.2,3.2,12.2,2.7,7.5,3.1,7.3,3.6,14.8,3.9,16.1,2.3,16.9,3.0,17.1,3.5,15.6,2.9,13.7,2.2,23.4,3.9,27.9,4.8,8.1,2.3,15.2,2.0,25.5,3.6,30.5,4.3,8.6,2.2,85917,9476,146915,12949,162750,5926,70913,5857,117081,7819,155323,11105,N,N,93323,9449,23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
8600000US60608,60608,ZCTA5 60608,25531,429,14948,458,8125,392,10583,450,12.4,1.3,7.2,1.2,3.4,1.3,20.8,2.5,7.6,1.0,6.1,1.0,2.9,1.0,10.2,1.8,15.1,1.5,16.9,1.9,12.1,2.2,14.8,2.6,13.4,1.3,15.5,1.5,14.1,2.1,10.9,1.8,14.7,1.6,14.6,1.9,14.9,2.5,13.4,2.1,16.5,1.4,16.0,2.0,19.5,2.6,15.1,1.9,8.6,1.0,9.7,1.3,11.8,2.2,6.8,1.4,7.1,0.9,8.3,1.2,12.5,2.0,5.1,1.3,2.6,0.6,3.0,0.8,4.2,1.3,2.0,0.8,2.0,0.4,2.7,0.7,4.7,1.2,0.8,0.4,36216,1506,38858,2781,52354,3967,27900,3913,50774,1751,55970,2254,70681,3454,41040,2435,31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X)
8600000US60609,60609,ZCTA5 60609,19284,395,13298,436,6989,369,5986,375,13.5,1.0,10.0,1.3,3.6,1.4,24.7,2.4,7.9,1.1,6.6,1.3,5.0,1.7,11.1,1.9,17.4,1.4,15.9,1.8,10.6,2.0,20.2,2.7,15.1,1.3,16.2,1.8,15.8,2.6,13.7,2.3,14.2,1.2,14.9,1.6,17.9,2.4,11.6,2.3,13.9,1.3,14.8,1.5,18.3,2.2,11.0,2.0,8.3,1.2,9.6,1.5,11.2,1.8,4.3,1.5,6.4,0.8,7.7,1.1,10.9,1.7,2.4,0.9,2.4,0.6,3.2,0.9,5.1,1.6,0.5,0.3,0.9,0.3,1.1,0.4,1.6,0.7,0.5,0.6,32284,1377,35929,1680,46363,3804,21998,1245,45562,1775,50110,1982,61690,3160,32334,3101,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
