GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,5330,407,1620,256,1433,252,3710,454,8.3,3.2,8.5,6.8,8.0,7.0,8.8,3.4,0.9,0.8,1.5,1.8,1.7,2.0,0.7,0.8,2.8,1.8,1.7,2.8,2.0,3.2,3.2,2.3,5.8,2.5,1.9,2.1,1.2,1.8,7.5,3.4,9.2,3.2,6.6,3.3,5.9,3.3,10.3,4.2,17.0,3.7,8.4,5.0,5.6,3.9,20.1,5.2,11.8,4.7,4.1,3.0,4.6,3.4,15.2,6.6,20.1,4.2,20.6,7.6,19.3,7.4,19.9,5.4,8.8,3.6,18.2,9.2,19.5,10.3,4.6,2.4,15.3,4.2,28.6,8.0,32.3,8.8,9.5,5.7,88229,16762,146429,28699,166875,33512,73898,7815,125072,15676,204727,44530,N,N,89899,9961,21.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.2,(X)
8600000US60602,60602,ZCTA5 60602,558,134,307,116,250,88,251,103,3.9,4.9,0.0,10.0,0.0,12.2,8.8,10.6,2.7,4.7,0.0,10.0,0.0,12.2,6.0,10.8,5.4,6.1,0.0,10.0,0.0,12.2,12.0,13.5,1.4,2.2,2.6,4.1,3.2,5.0,0.0,12.1,8.6,11.1,1.6,3.0,2.0,3.7,17.1,23.1,19.9,15.2,15.0,20.8,0.0,12.2,25.9,21.8,10.0,8.5,8.5,10.3,6.0,9.4,12.0,14.0,19.2,12.3,23.1,17.9,28.4,20.7,14.3,15.7,9.9,13.2,14.7,23.2,18.0,27.5,4.0,6.5,19.0,13.9,34.5,25.4,42.4,29.8,0.0,12.1,98167,35672,127132,143304,183944,82306,53547,30554,164915,55134,252332,104998,N,N,57994,17484,24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.0,(X)
8600000US60603,60603,ZCTA5 60603,200,79,95,59,95,59,105,60,14.5,20.9,0.0,28.3,0.0,28.3,27.6,36.0,4.5,7.7,0.0,28.3,0.0,28.3,8.6,14.4,0.0,15.0,0.0,28.3,0.0,28.3,0.0,26.1,2.5,4.0,0.0,28.3,0.0,28.3,4.8,7.9,7.0,9.3,10.5,17.8,10.5,17.8,3.8,7.4,0.0,15.0,0.0,28.3,0.0,28.3,0.0,26.1,15.5,17.4,21.1,32.6,21.1,32.6,10.5,16.7,36.0,22.2,42.1,37.8,42.1,37.8,30.5,26.7,2.5,4.3,0.0,28.3,0.0,28.3,4.8,9.2,17.5,13.9,26.3,25.2,26.3,25.2,9.5,16.0,103534,23828,104009,36208,104009,36208,78750,98161,114175,37519,147838,50127,N,N,83717,52192,22.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),5.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.1,(X)
8600000US60604,60604,ZCTA5 60604,254,79,128,44,128,44,126,83,9.4,11.3,0.0,22.2,0.0,22.2,19.0,22.8,5.9,9.8,0.0,22.2,0.0,22.2,11.9,19.5,0.0,12.0,0.0,22.2,0.0,22.2,0.0,22.5,14.6,13.7,16.4,20.9,16.4,20.9,12.7,20.0,4.7,7.0,9.4,13.7,9.4,13.7,0.0,22.5,2.8,4.5,0.0,22.2,0.0,22.2,5.6,9.7,4.7,7.5,9.4,13.9,9.4,13.9,0.0,22.5,23.2,22.3,14.1,15.2,14.1,15.2,32.5,41.0,6.3,9.5,0.0,22.2,0.0,22.2,12.7,20.7,28.3,16.6,50.8,24.6,50.8,24.6,5.6,9.8,103720,56781,205278,202126,205278,202126,102561,151948,160446,67066,230309,113791,N,N,89475,46989,16.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.3,(X)
8600000US60605,60605,ZCTA5 60605,11406,569,3364,327,2748,294,8042,543,9.1,2.6,3.1,2.5,0.5,0.8,11.8,3.5,4.0,1.7,0.4,0.6,0.0,1.2,5.5,2.4,6.7,2.0,4.8,3.5,3.3,2.8,8.3,2.9,4.8,1.9,2.8,2.8,1.0,1.3,5.7,2.4,8.8,2.0,3.4,2.4,3.3,2.7,10.4,2.5,16.4,2.9,8.9,3.3,7.5,3.2,19.5,3.6,12.2,2.3,13.9,4.1,14.8,4.7,11.6,2.7,14.9,2.6,19.9,5.5,20.5,6.0,12.9,2.7,10.4,2.2,16.1,5.2,17.2,5.3,7.9,2.4,12.5,2.3,26.7,5.8,31.8,6.4,6.4,2.1,75030,6206,130526,16320,147308,24166,60430,7835,105262,7092,154775,13516,N,N,83643,7910,21.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.7,(X)
8600000US60606,60606,ZCTA5 60606,1249,158,431,101,402,99,818,143,4.6,3.7,0.0,7.3,0.0,7.8,7.1,5.5,1.6,1.9,0.0,7.3,0.0,7.8,2.4,2.8,1.0,1.6,0.0,7.3,0.0,7.8,1.6,2.4,1.8,2.0,0.0,7.3,0.0,7.8,2.7,3.0,5.7,5.4,7.7,8.9,8.2,9.4,4.6,7.1,20.8,7.9,6.3,7.0,2.2,3.7,28.5,10.4,12.4,5.3,11.1,8.9,11.9,9.6,13.1,6.5,13.5,5.8,8.1,7.0,8.7,7.6,16.3,7.9,14.6,5.3,21.6,10.9,23.1,11.4,10.9,5.6,24.0,5.8,45.2,13.8,45.8,14.2,12.8,6.1,109375,24223,186058,40999,186731,40581,79091,22099,145974,19452,209137,39728,N,N,112694,21325,16.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),14.8,(X)
8600000US60607,60607,ZCTA5 60607,10577,363,3988,353,2974,332,6589,427,11.9,2.2,8.7,2.8,3.8,2.2,14.4,3.0,3.6,1.1,2.4,1.7,0.6,0.8,4.3,1.4,5.9,1.3,2.6,1.4,0.9,1.0,7.9,1.9,5.5,1.5,6.6,3.4,4.5,3.0,4.7,1.7,7.8,1.8,7.9,2.6,6.4,2.6,8.1,2.3,12.9,2.1,9.0,2.7,7.8,3.1,15.0,2.9,11.3,1.9,5.0,1.7,5.8,2.1,15.0,3.0,16.6,2.5,17.2,3.8,20.6,3.9,16.1,3.4,11.9,1.9,18.4,3.8,23.6,4.5,7.5,2.1,12.6,2.1,22.2,4.7,26.0,5.4,6.7,1.8,79242,6445,122341,11694,146705,16953,67150,4308,108014,7070,139410,12548,N,N,87971,8710,25.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X)
8600000US60608,60608,ZCTA5 60608,25007,585,15259,652,8665,570,9748,589,11.6,1.4,7.1,1.3,3.0,1.3,21.4,3.0,8.7,1.3,7.2,1.5,4.0,1.2,11.4,2.2,15.8,1.6,15.7,1.8,13.8,2.4,18.3,2.5,13.4,1.4,15.0,1.7,12.3,2.1,11.0,1.9,15.6,1.6,15.9,1.8,17.4,2.5,12.6,2.5,16.3,1.5,17.2,2.1,20.1,2.8,14.1,2.2,8.6,1.0,9.3,1.4,12.4,2.2,5.9,1.4,5.3,1.0,6.4,1.3,8.5,2.1,2.9,1.0,3.0,0.7,3.6,1.0,4.8,1.6,2.0,0.8,1.8,0.5,2.6,0.8,3.7,1.2,0.3,0.4,35477,1734,39586,2218,49523,3144,23900,2966,49412,1920,55668,2585,66972,4370,36231,2286,26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.0,(X)
8600000US60609,60609,ZCTA5 60609,19381,518,13712,507,7390,416,5669,382,13.9,1.5,10.0,1.7,3.9,1.6,25.8,3.4,7.9,1.2,6.5,1.4,3.5,1.5,13.9,3.1,14.6,1.7,15.2,1.8,10.9,2.4,15.1,3.2,14.0,1.6,14.3,1.9,13.5,2.4,11.3,3.0,14.6,1.5,15.0,2.0,19.9,3.2,12.8,2.9,16.6,1.7,17.3,2.2,18.7,3.0,11.4,2.6,9.2,1.3,10.4,1.6,12.9,2.7,6.3,2.0,6.8,1.1,8.3,1.3,11.8,2.2,2.6,1.3,1.7,0.5,2.2,0.7,3.6,1.1,0.0,0.6,0.7,0.3,0.7,0.4,1.2,0.7,0.7,0.7,34725,1647,38365,2156,48039,3964,21566,3366,46260,1802,49856,2152,61265,3858,32994,3123,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.2,(X)
